0.014,-0.0216154
0.0543,-0.0184427
0.014,-0.0216154
0.03525,-0.0184427
0.07335,-0.01527
0.03525,-0.0184427
0.0543,-0.0184427
0.0924,-0.014
0.07335,-0.01527
0.11145,-0.01527
0.0924,-0.014
0.1305,-0.01654
0.11145,-0.01527
0.14955,-0.01654
0.1305,-0.01654
0.14955,-0.01654
0.014,-0.0406654
0.0543,-0.0374927
0.03525,-0.0374927
0.07335,-0.03432
0.0924,-0.03305
0.11145,-0.03432
0.1305,-0.03559
0.14955,-0.03559
0.014,-0.0597154
0.0543,-0.0565427
0.03525,-0.0565427
0.07335,-0.05337
0.0924,-0.0521
0.11145,-0.05337
0.1305,-0.05464
0.14955,-0.05464
0.014,-0.0787654
0.0543,-0.0755927
0.03525,-0.0755927
0.07335,-0.07242
0.0924,-0.07115
0.11145,-0.07242
0.1305,-0.07369
0.14955,-0.07369
0.014,-0.0978154
0.0543,-0.0946427
0.03525,-0.0946427
0.07335,-0.09147
0.0924,-0.0902
0.11145,-0.09147
0.1305,-0.09274
0.005,-0.0496654
0.023,-0.0316654
0.14955,-0.09274
